transaction_id,customer_id,branch_id,item_id,amount,payment_method,transaction_date,dining_option
45b4f1c6-3c1b-4797-aca4-8c42b8621a9c,e2852da0-8b7a-4733-8f19-2d3fb79c1957,babf3c19-c39d-4037-9d9b-79b596d539b4,6c2554d4-c727-4c89-9031-81b2c831e6c7,49409.96,Online,2024-07-28,Take-out
c43699b3-3691-409d-ac02-772be953d777,dec0622a-4f0e-4116-b7cf-bc2fe4fe1881,5ba49369-5f20-4561-9ceb-c9e2b93eb1c0,40a484f0-69e5-4d0f-82d9-3729cdbbe7e8,17221.9,Debit Card,2024-01-12,Take-out
9e52d922-c1be-47e2-81f9-a17e9af266ce,a0e63725-9fa6-4aee-a7aa-d3d3368cfac9,649e845e-3fbd-4c6b-87f3-ca4d574220d8,18787a1a-212c-4040-aa65-07f428b141e7,39327.69,Cash,2024-01-23,Take-out
9b74e3a5-a46b-4fc2-9afc-fd686ece7d1e,adf1ab56-77ea-457e-98dc-bf92adcb7dd7,5f9ed62b-0fbe-497b-a014-223ec20e4655,4ac727b8-9062-4664-9c5f-2d266c57f04d,12287.24,Online,2024-07-21,Online
2ea54e83-1b02-4ef1-bcaa-ecbcea0bbb84,cf9a6c49-1ba0-4917-9b6e-7e6b41fa097f,3049a45b-fe40-43c4-adf6-c1a36102bbc5,491fbf4e-fddc-475d-a05f-f17ded9cb70b,47328.71,Cash,2024-07-08,Dine-in
0796e4ca-3b68-49b2-831f-b65ccc42c5c6,27287c07-925a-4965-bc20-be33730bdb3a,39ccac95-b819-438a-a68e-bdab0fde1af1,5118fdd7-9c74-4bd9-8e31-336362edff12,18209.29,Online,2024-05-01,Dine-in
ecc7fd91-ff58-45d5-b797-d8d1b54d6876,b625c0c7-08f6-4d30-a00d-80a20a928a51,5f9ed62b-0fbe-497b-a014-223ec20e4655,4ac727b8-9062-4664-9c5f-2d266c57f04d,37915.25,Debit Card,2024-05-03,Online
2e4f8e0a-e5cc-4e0c-94e6-b77a32addf08,3746e440-0e83-4942-b040-13ecb01db32e,378d22bb-0a16-4f22-8cd3-082ea35cd663,eb0a9581-27d1-4ca1-86ef-fb95ce20e020,27171.18,Cash,2024-06-29,Online
fbb3466b-505a-46ac-9a0f-ce289b48ea11,3120d15a-f41d-4d19-9a39-0d619c89e779,5ba49369-5f20-4561-9ceb-c9e2b93eb1c0,a6d9f276-b62b-47f5-ae86-b501adfd795e,38828.93,Online,2024-02-12,Take-out
80ce07cc-81f8-4768-9cc2-37cfc6faca45,917e2255-f158-4eb9-b498-70c64edb5dbf,5f9ed62b-0fbe-497b-a014-223ec20e4655,a537e8b3-298e-4199-8138-46af27e0a401,17860.27,Cash,2024-03-01,Take-out
4064613f-3c26-4632-9746-12844d67b3c8,a142977e-22d0-461f-bfb1-74957daceaea,babf3c19-c39d-4037-9d9b-79b596d539b4,abe16f26-8399-40d4-aee4-0b1cb9dc679d,46566.46,Cash,2024-06-18,Online
5f0cc3e7-9ca4-439a-b19a-c8b83e287c85,cecf0b92-6a04-45d2-8280-cbd6077e170a,649e845e-3fbd-4c6b-87f3-ca4d574220d8,d1f2a17d-e4f7-4c1e-84a4-3210fc7a818d,22500.06,Cash,2024-01-15,Online
ea4204bc-d00f-4c05-82fa-be6823bb376b,4cabc2c2-5ec0-414c-a8bc-7ce8bee04831,a0ed89bd-52cc-4b02-926f-54b2f43bcdef,cba34c2e-1fc5-453f-b235-45432e9139e1,37558.57,Online,2024-02-10,Take-out
96fcfbfd-3c2f-4a0f-86b6-b0ccda1dfa57,a18de3ab-9203-4906-b233-804f4e356a5f,5f9ed62b-0fbe-497b-a014-223ec20e4655,a6f69db0-e249-4833-b0a1-8598a2a5a20f,38732.77,Debit Card,2024-07-19,Online
70599029-b48d-499f-bcfc-3972cdb814b1,3900cab3-5507-4b1f-8c8e-64ab4440bf9c,a0ed89bd-52cc-4b02-926f-54b2f43bcdef,d1f2a17d-e4f7-4c1e-84a4-3210fc7a818d,31876.76,Online,2024-03-08,Online
d3366e2e-c81b-416e-9c99-215ce11edf9d,df00794e-c802-4438-adbe-5cc3dcc06980,378d22bb-0a16-4f22-8cd3-082ea35cd663,57db85a0-8936-431a-ad11-93a44dd0345f,37968.57,Cash,2024-08-21,Take-out
e4e8cd00-5e1b-40fe-929b-78a1a1cf1487,70e6a592-b067-4c55-90d9-85f77e248e74,a0ed89bd-52cc-4b02-926f-54b2f43bcdef,d0d9f786-f3eb-4f10-a3e1-7a6a2543c8ac,49225.79,Cash,2024-07-19,Dine-in
e7061690-844a-4e2d-8817-118f5606a6fa,dec0622a-4f0e-4116-b7cf-bc2fe4fe1881,649e845e-3fbd-4c6b-87f3-ca4d574220d8,7613f8df-e6f9-4dac-85f5-7c487678116c,46574.47,Debit Card,2024-04-15,Dine-in
dba7ab5c-d3a3-4c5e-8b6e-1910f3053e4c,c85c7965-5b7a-4cc5-bb4e-bc1abc155af9,5ba49369-5f20-4561-9ceb-c9e2b93eb1c0,99bf5f91-060e-467d-83a5-f09e226a00cf,42357.69,Online,2024-04-06,Dine-in
5eeb9de8-139d-4879-9f66-e6ae5861a232,32a16efb-4cbe-4194-9bc1-8ecd9e2783db,347a3a9d-c367-4763-8de0-880a913c387d,491fbf4e-fddc-475d-a05f-f17ded9cb70b,48603.62,Online,2024-05-05,Dine-in
